timestamp,fixture,mem_limit,cpus,n,warm,invoked,rss_samples,rss_bytes,mem_limit_bytes,heap_used_bytes,metaspace_used_bytes,compressed_class_used_bytes,nonheap_used_bytes,thread_count,loaded_class_count,jcmd_chunk_bytes,jcmd_block_bytes,fc_fn_loaded,fc_fn_warm,notes
2026-09-20T08:20:20Z,typical,2g,2,100,100,100,median;samples=752143564|752143564|752143564,752143564,2147483648,8.2918592E7,4.95171696E8,5.9258872E7,5.62105088E8,28.0,75705,497236992,495187368,100.0,100.0,all-warm-sweep
2026-09-20T08:20:51Z,typical,2g,2,200,200,200,median;samples=1286342705|1287416446|1287416446,1287416446,2147483648,1.53240144E8,9.53368544E8,1.13964784E8,1.076212936E9,28.0,145002,956474368,953383136,200.0,200.0,all-warm-sweep
2026-09-20T08:21:28Z,typical,2g,2,300,300,300,median;samples=1429150367|1429150367|1429150367,1429150367,2147483648,1.66532216E8,1.071025552E9,1.28349208E8,1.207185128E9,21.0,162773,1073769472,1071025552,226.0,226.0,all-warm-sweep
2026-09-20T08:24:34Z,typical,4g,2,200,200,200,median;samples=1283121479|1283121479|1283121479,1283121479,4294967296,1.52583792E8,9.53394544E8,1.13966528E8,1.07616688E9,28.0,145001,956792832,953411688,200.0,200.0,all-warm-sweep
2026-09-20T08:25:18Z,typical,4g,2,400,400,400,median;samples=2515777093|2515777093|2515777093,2515777093,4294967296,2.92295952E8,1.869256008E9,2.22623928E8,2.1023944E9,28.0,283609,1880603648,1869267424,400.0,400.0,all-warm-sweep
2026-09-20T08:26:10Z,typical,4g,2,500,500,500,median;samples=2783138807|2783138807|2783138807,2783138807,4294967296,3.25098024E8,2.135259656E9,2.54320152E8,2.398354032E9,21.0,323763,2147776512,2135259824,458.0,458.0,all-warm-sweep
